L1,L2,t,d,Secilen_Stress,Secilen_Displacement,Secilen_Kaynak,Kayit_Sayisi,Tum_Kaynaklar
60.0,45.0,6.0,15.0,9.9046,0.02856,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.9067, D=0.02857 | L_braket_6(1).csv: S=9.9046, D=0.02856"
60.0,45.0,6.0,18.0,9.7957,0.02918,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7999, D=0.02919 | L_braket_6(1).csv: S=9.7957, D=0.02918"
60.0,45.0,6.0,21.0,9.7407,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.749, D=0.02997 | L_braket_6(1).csv: S=9.7407, D=0.02998"
60.0,45.0,8.0,12.0,6.1675,0.01172,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.1675, D=0.01172"
60.0,45.0,8.0,15.0,5.9764,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9764, D=0.01194 | L_braket_6(1).csv: S=5.9764, D=0.01194"
60.0,45.0,8.0,18.0,5.9728,0.01222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9728, D=0.01222 | L_braket_6(1).csv: S=5.9728, D=0.01222"
60.0,45.0,8.0,21.0,6.0183,0.0126,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0183, D=0.0126 | L_braket_6(1).csv: S=6.0183, D=0.0126"
60.0,45.0,10.0,12.0,4.1306,0.005944,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=4.1306, D=0.005944"
60.0,45.0,10.0,15.0,4.0444,0.006064,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.109, D=0.006064 | L_braket_6(1).csv: S=4.0444, D=0.006064"
60.0,45.0,10.0,18.0,4.0494,0.00622,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9813, D=0.006221 | L_braket_6(1).csv: S=4.0494, D=0.00622"
60.0,45.0,10.0,21.0,4.0916,0.006425,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.1028, D=0.006427 | L_braket_6(1).csv: S=4.0916, D=0.006425"
60.0,60.0,4.0,12.0,22.753,0.09634,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.753, D=0.09634"
60.0,60.0,4.0,15.0,22.769,0.09767,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.769, D=0.09767"
60.0,60.0,4.0,18.0,22.517,0.0995,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.517, D=0.0995"
60.0,60.0,4.0,21.0,22.434,0.10194,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.434, D=0.10194"
60.0,60.0,6.0,12.0,9.8987,0.02811,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8987, D=0.02811"
60.0,60.0,6.0,15.0,9.8446,0.02857,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8758, D=0.02857 | L_braket_6(1).csv: S=9.8446, D=0.02857"
60.0,60.0,6.0,18.0,9.7275,0.02917,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7787, D=0.02918 | L_braket_6(1).csv: S=9.7275, D=0.02917"
60.0,60.0,6.0,21.0,9.7424,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.755, D=0.02998 | L_braket_6(1).csv: S=9.7424, D=0.02998"
60.0,60.0,8.0,12.0,6.0172,0.01173,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.0172, D=0.01173"
60.0,60.0,8.0,15.0,5.9697,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9697, D=0.01194 | L_braket_6(1).csv: S=5.9697, D=0.01194"
60.0,60.0,8.0,18.0,6.2528,0.01222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.2528, D=0.01222 | L_braket_6(1).csv: S=6.2528, D=0.01222"
60.0,60.0,8.0,21.0,6.0799,0.01259,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0799, D=0.01259 | L_braket_6(1).csv: S=6.0799, D=0.01259"
60.0,60.0,10.0,12.0,3.9888,0.005947,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9888, D=0.005947"
60.0,60.0,10.0,15.0,3.9959,0.006068,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9913, D=0.006066 | L_braket_6(1).csv: S=3.9959, D=0.006068"
60.0,60.0,10.0,18.0,3.9539,0.006225,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9727, D=0.006224 | L_braket_6(1).csv: S=3.9539, D=0.006225"
60.0,60.0,10.0,21.0,3.9274,0.006432,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9644, D=0.006432 | L_braket_6(1).csv: S=3.9274, D=0.006432"
60.0,75.0,4.0,12.0,22.933,0.0964,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.933, D=0.0964"
60.0,75.0,4.0,15.0,22.718,0.09778,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.718, D=0.09778"
60.0,75.0,4.0,18.0,22.698,0.09966,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.698, D=0.09966"
60.0,75.0,4.0,21.0,22.61,0.10207,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=22.61, D=0.10207"
60.0,75.0,6.0,12.0,9.8741,0.0281,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=9.8741, D=0.0281"
60.0,75.0,6.0,15.0,9.8157,0.02857,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8161, D=0.02857 | L_braket_6(1).csv: S=9.8157, D=0.02857"
60.0,75.0,6.0,18.0,9.8053,0.02919,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.8028, D=0.02918 | L_braket_6(1).csv: S=9.8053, D=0.02919"
60.0,75.0,6.0,21.0,9.7259,0.02998,L_braket_6(1).csv,2,"l_Braket_2.csv: S=9.7255, D=0.02998 | L_braket_6(1).csv: S=9.7259, D=0.02998"
60.0,75.0,8.0,12.0,6.2505,0.01173,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=6.2505, D=0.01173"
60.0,75.0,8.0,15.0,6.0255,0.01194,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0255, D=0.01194 | L_braket_6(1).csv: S=6.0255, D=0.01194"
60.0,75.0,8.0,18.0,6.0468,0.01223,L_braket_6(1).csv,2,"l_Braket_2.csv: S=6.0468, D=0.01223 | L_braket_6(1).csv: S=6.0468, D=0.01223"
60.0,75.0,8.0,21.0,5.9551,0.0126,L_braket_6(1).csv,2,"l_Braket_2.csv: S=5.9551, D=0.0126 | L_braket_6(1).csv: S=5.9551, D=0.0126"
60.0,75.0,10.0,12.0,3.9848,0.005946,L_braket_6(1).csv,1,"L_braket_6(1).csv: S=3.9848, D=0.005946"
60.0,75.0,10.0,15.0,4.1279,0.006064,L_braket_6(1).csv,2,"l_Braket_2.csv: S=4.1251, D=0.006064 | L_braket_6(1).csv: S=4.1279, D=0.006064"
60.0,75.0,10.0,18.0,3.9722,0.006222,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9814, D=0.006222 | L_braket_6(1).csv: S=3.9722, D=0.006222"
60.0,75.0,10.0,21.0,3.9535,0.006431,L_braket_6(1).csv,2,"l_Braket_2.csv: S=3.9484, D=0.006431 | L_braket_6(1).csv: S=3.9535, D=0.006431"
70.0,50.0,6.0,15.0,9.6451,0.03102,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=9.6451, D=0.03102"
70.0,50.0,8.0,15.0,6.0716,0.01308,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=6.0716, D=0.01308"
70.0,50.0,10.0,15.0,3.9508,0.006697,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=3.9508, D=0.006697"
70.0,55.0,6.0,15.0,9.6949,0.03101,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=9.6949, D=0.03101"
70.0,55.0,8.0,15.0,6.1364,0.01307,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=6.1364, D=0.01307"
70.0,55.0,10.0,15.0,3.9628,0.006699,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=3.9628, D=0.006699"
75.0,50.0,6.0,15.0,9.6451,0.03102,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=9.6451, D=0.03102"
75.0,50.0,8.0,15.0,6.0716,0.01308,l_braket_5.csv (d=15 mm),1,"l_braket_5.csv (d=15 mm): S=6.0716, D=0.01308"
